date,equity,ret
2026-01-05,70798.54,0.005585
2026-01-06,71347.01,0.007747
2026-01-07,72037.51,0.009678
2026-01-08,72765.91,0.010111
2026-01-09,73561.42,0.010933
2026-01-12,73790.11,0.003109
2026-01-13,73956.78,0.002259
2026-01-14,75279.83,0.01789
2026-01-15,76355.4,0.014288
2026-01-16,76604.62,0.003264
2026-01-19,77113.47,0.006643
2026-01-20,78037.23,0.011979
2026-01-21,78325.35,0.003692
2026-01-22,78481.0,0.001987
2026-01-23,78656.14,0.002232
2026-01-26,79079.08,0.005377
2026-01-27,79154.6,0.000955
2026-01-28,79557.91,0.005095
2026-01-29,80522.68,0.012127
2026-01-30,80759.12,0.002936
2026-02-02,81379.65,0.007684
2026-02-03,81897.87,0.006368
2026-02-04,82467.99,0.006961
2026-02-05,82742.23,0.003325
2026-02-06,82931.57,0.002288
2026-02-09,83239.92,0.003718
2026-02-10,83589.81,0.004203
2026-02-11,83649.81,0.000718
2026-02-12,83820.15,0.002036
2026-02-13,84168.88,0.00416
2026-02-24,84528.81,0.004276
2026-02-25,84827.95,0.003539
2026-02-26,85267.86,0.005186
2026-02-27,85750.79,0.005664
2026-03-02,86005.14,0.002966
2026-03-03,86747.35,0.00863
2026-03-04,87159.39,0.00475
2026-03-05,87838.42,0.007791
2026-03-06,87841.19,3.2e-05
2026-03-09,88235.59,0.00449
2026-03-10,89201.62,0.010948
2026-03-11,89544.51,0.003844
2026-03-12,89586.6,0.00047
2026-03-13,90359.44,0.008627
2026-03-16,91475.99,0.012357
2026-03-17,91964.07,0.005336
2026-03-18,92292.32,0.003569
2026-03-19,92845.1,0.005989
2026-03-20,93689.54,0.009095
2026-03-23,95418.43,0.018453
2026-03-24,95496.91,0.000822
2026-03-25,95932.98,0.004566
2026-03-26,96586.61,0.006813
2026-03-27,96840.0,0.002624
2026-03-30,96729.05,-0.001146
2026-03-31,97832.77,0.01141
2026-04-01,98674.16,0.0086
2026-04-02,99499.51,0.008364
2026-04-03,99933.97,0.004366
2026-04-07,100277.51,0.003438
2026-04-08,100731.45,0.004527
2026-04-09,101432.7,0.006962
2026-04-10,101696.16,0.002597
2026-04-13,101936.77,0.002366
2026-04-14,101929.53,-7.1e-05
2026-04-15,102631.05,0.006882
2026-04-16,102590.78,-0.000392
2026-04-17,102869.15,0.002713
2026-04-20,102821.48,-0.000463
2026-04-21,103396.29,0.00559
2026-04-22,103926.98,0.005133
2026-04-23,104559.25,0.006084
2026-04-24,104663.16,0.000994
2026-04-27,104492.25,-0.001633
2026-04-28,105187.17,0.00665
2026-04-29,105641.9,0.004323
2026-04-30,105895.43,0.0024
2026-05-06,106311.39,0.003928
2026-05-07,106527.66,0.002034
2026-05-08,106899.3,0.003489
2026-05-11,107237.28,0.003162
2026-05-12,107950.07,0.006647
2026-05-13,108534.06,0.00541
2026-05-14,109421.47,0.008176
2026-05-15,109979.52,0.0051
2026-05-18,110176.17,0.001788
2026-05-19,110582.82,0.003691
2026-05-20,110688.93,0.00096
2026-05-21,111275.6,0.0053
2026-05-22,111873.47,0.005373
2026-05-25,111807.2,-0.000592
2026-05-26,112313.95,0.004532
2026-05-27,112215.15,-0.00088
2026-05-28,112497.96,0.00252
2026-05-29,113912.11,0.01257
2026-06-01,114222.84,0.002728
2026-06-02,114592.62,0.003237
2026-06-03,116273.6,0.014669
2026-06-04,116768.84,0.004259
2026-06-05,117832.14,0.009106
2026-06-08,118501.93,0.005684
2026-06-09,118563.58,0.00052
2026-06-10,118754.8,0.001613
2026-06-11,118994.95,0.002022
