,equity,returns,drawdown
2018-11-05,992439.1869120009,0.0,-0.055420941714492966
2018-11-06,992439.1869120009,0.0,-0.055420941714492966
2018-11-07,992439.1869120009,0.0,-0.055420941714492966
2018-11-08,992439.1869120009,0.0,-0.055420941714492966
2018-11-09,992439.1869120009,0.0,-0.055420941714492966
2018-11-12,992439.1869120009,0.0,-0.055420941714492966
2018-11-13,992439.1869120009,0.0,-0.055420941714492966
2018-11-14,992439.1869120009,0.0,-0.055420941714492966
2018-11-15,992439.1869120009,0.0,-0.055420941714492966
2018-11-16,992439.1869120009,0.0,-0.055420941714492966
2018-11-19,992439.1869120009,0.0,-0.055420941714492966
2018-11-20,992439.1869120009,0.0,-0.055420941714492966
2018-11-21,992439.1869120009,0.0,-0.055420941714492966
2018-11-22,992439.1869120009,0.0,-0.055420941714492966
2018-11-23,992439.1869120009,0.0,-0.055420941714492966
2018-11-26,992439.1869120009,0.0,-0.055420941714492966
2018-11-27,992439.1869120009,0.0,-0.055420941714492966
2018-11-28,992439.1869120009,0.0,-0.055420941714492966
2018-11-29,992439.1869120009,0.0,-0.055420941714492966
2018-11-30,992439.1869120009,0.0,-0.055420941714492966
2018-12-03,992439.1869120009,0.0,-0.055420941714492966
2018-12-04,992439.1869120009,0.0,-0.055420941714492966
2018-12-05,992439.1869120009,0.0,-0.055420941714492966
2018-12-06,992439.1869120009,0.0,-0.055420941714492966
2018-12-07,992439.1869120009,0.0,-0.055420941714492966
2018-12-10,992439.1869120009,0.0,-0.055420941714492966
2018-12-11,992439.1869120009,0.0,-0.055420941714492966
2018-12-12,992439.1869120009,0.0,-0.055420941714492966
2018-12-13,992439.1869120009,0.0,-0.055420941714492966
2018-12-14,992439.1869120009,0.0,-0.055420941714492966
2018-12-17,992439.1869120009,0.0,-0.055420941714492966
2018-12-18,992439.1869120009,0.0,-0.055420941714492966
2018-12-19,992439.1869120009,0.0,-0.055420941714492966
2018-12-20,992439.1869120009,0.0,-0.055420941714492966
2018-12-21,992439.1869120009,0.0,-0.055420941714492966
2018-12-24,992439.1869120009,0.0,-0.055420941714492966
2018-12-25,992439.1869120009,0.0,-0.055420941714492966
2018-12-26,992439.1869120009,0.0,-0.055420941714492966
2018-12-27,992439.1869120009,0.0,-0.055420941714492966
2018-12-28,992439.1869120009,0.0,-0.055420941714492966
2019-01-02,992439.1869120009,0.0,-0.055420941714492966
2019-01-03,992439.1869120009,0.0,-0.055420941714492966
2019-01-04,992439.1869120009,0.0,-0.055420941714492966
2019-01-07,992439.1869120009,0.0,-0.055420941714492966
2019-01-08,992439.1869120009,0.0,-0.055420941714492966
2019-01-09,992439.1869120009,0.0,-0.055420941714492966
2019-01-10,992439.1869120009,0.0,-0.055420941714492966
2019-01-11,992439.1869120009,0.0,-0.055420941714492966
2019-01-14,992439.1869120009,0.0,-0.055420941714492966
2019-01-15,992439.1869120009,0.0,-0.055420941714492966
2019-01-16,992439.1869120009,0.0,-0.055420941714492966
2019-01-17,992439.1869120009,0.0,-0.055420941714492966
2019-01-18,992439.1869120009,0.0,-0.055420941714492966
2019-01-21,992785.0546080009,0.0003485026594689522,-0.055091753400601795
2019-01-22,990513.0546080009,-0.0022885114853961053,-0.05725418677559002
2019-01-23,990058.654608001,-0.0004587521566585817,-0.05768667345058753
2019-01-24,991421.854608001,0.001376888120370623,-0.056389213425594664
2019-01-25,992785.0546080009,0.0013749949062187294,-0.055091753400601795
2019-01-28,992557.854608001,-0.00022885114853954391,-0.055307996738100496
2019-01-29,993353.0546080009,0.000801162366816488,-0.054551145056854655
2019-01-30,991206.3106480009,-0.0021611087317259248,-0.05659436283267261
2019-01-31,994602.3106480009,0.003426128308020804,-0.05336213407322721
2019-02-01,1000601.9106480009,0.0060321597243133684,-0.047651863264873695
2019-02-11,1008154.942992001,0.00754848882819803,-0.04046307399417337
2019-02-12,1012990.9755120008,0.00479691396011761,-0.03586025791856773
2019-02-13,1028481.4755120008,0.015291844028689994,-0.02111678336079703
2019-02-14,1029379.4755120008,0.0008731319147512462,-0.020262089183535004
2019-02-15,1016807.4755120008,-0.012213183086584145,-0.032227807665203945
2019-02-18,1038583.975512001,0.02141654199486953,-0.011501473866598722
2019-02-19,1036563.4755120008,-0.0019454372950478138,-0.01342453576543845
2019-02-20,1038583.975512001,0.0019492293986165254,-0.011501473866598722
2019-02-21,1037685.975512001,-0.0008646387977989667,-0.012356168043860749
2019-02-22,1058339.975512001,0.019903902035304233,0.0
2019-02-25,1114240.475512001,0.05281903858252779,0.0
2019-02-26,1095157.975512001,-0.017126015810215,-0.017126015810215
2019-02-27,1090667.975512001,-0.00409986513397842,-0.021155666589089073
2019-02-28,1089096.475512001,-0.001440860129098609,-0.02256604436169507
2019-03-01,1105933.975512001,0.015460062885691128,-0.007454853940917161
2019-03-04,1114689.4755120012,0.007916837888940709,0.0
2019-03-05,1121873.4755120012,0.00644484419905389,0.0
2019-03-06,1127710.4755120012,0.0052029040060297405,0.0
2019-03-07,1118281.4755120007,-0.008361188624872451,-0.008361188624872451
2019-03-08,1088647.475512001,-0.026499589458398143,-0.03463921001732728
2019-03-11,1099647.9755120012,0.01010474028319086,-0.024884489954976385
2019-03-12,1105260.4755120012,0.00510390609084399,-0.019907591963981064
2019-03-13,1100321.4755120012,-0.004468629892616094,-0.024287262196056925
2019-03-14,1094259.9755120012,-0.005508844583061001,-0.02966231202633185
2019-03-15,1105260.4755120012,0.010052912695498017,-0.019907591963981064
2019-03-18,1131077.975512001,0.023358747165947547,0.0
2019-03-19,1124791.9755120012,-0.005557530193401883,-0.005557530193401883
2019-03-20,1124791.9755120012,0.0,-0.005557530193401883
2019-03-21,1125240.975512001,0.00039918492465718103,-0.005160563751016145
2019-03-22,1126363.475512001,0.000997564099093795,-0.004168147645051579
2019-03-25,1105035.9755120012,-0.018934829176971646,-0.023024053658379673
2019-03-26,1096280.4755120007,-0.007923271453622815,-0.030764899284904335
2019-03-27,1103464.475512001,0.006553067541082536,-0.02441343620673042
2019-03-28,1101219.475512001,-0.002034501381622089,-0.026398268418659665
2019-03-29,1135343.475512001,0.030987465041093953,0.0
2019-04-01,1157793.4755120012,0.01977375171850615,0.0
2019-04-02,1156221.975512001,-0.0013573232473997887,-0.0013573232473997887
2019-04-03,1168120.475512001,0.01029084401784619,0.0
2019-04-04,1178671.9755120007,0.009032886779400728,0.0
2019-04-08,1172834.9755120012,-0.004952183577168756,-0.004952183577168756
2019-04-09,1178222.975512001,0.004593996693906366,-0.00038093719824361383
2019-04-10,1179569.975512001,0.001143247100078515,0.0
2019-04-11,1163854.975512001,-0.013322651751269565,-0.013322651751269565
2019-04-12,1160711.9755120012,-0.0027005082816414783,-0.01598718210152328
2019-04-15,1155099.475512001,-0.004835394239405932,-0.020745272012691274
2019-04-16,1182039.4755120012,0.02332266663705229,0.0
2019-04-17,1179794.4755120012,-0.0018992597510566478,-0.0018992597510566478
2019-04-18,1178222.9755120012,-0.0013320116618769084,-0.0032287415767962013
2019-04-19,1191692.9755120012,0.011432471000785371,0.0
2019-04-22,1168569.4755120012,-0.019403907277430354,-0.019403907277430354
2019-04-23,1166997.975512001,-0.0013448066485834964,-0.020722619422498645
2019-04-24,1168344.9755120012,0.0011542436476028595,-0.019592294726725856
2019-04-25,1149711.475512001,-0.015948628522012065,-0.03522845301824762
2019-04-26,1143125.238192001,-0.005728600140367357,-0.040755243437709754
2019-04-29,1143125.238192001,0.0,-0.040755243437709754
2019-04-30,1143125.238192001,0.0,-0.040755243437709754
2019-05-06,1143125.238192001,0.0,-0.040755243437709754
2019-05-07,1143125.238192001,0.0,-0.040755243437709754
2019-05-08,1143125.238192001,0.0,-0.040755243437709754
2019-05-09,1143125.238192001,0.0,-0.040755243437709754
2019-05-10,1143125.238192001,0.0,-0.040755243437709754
2019-05-13,1143125.238192001,0.0,-0.040755243437709754
2019-05-14,1143125.238192001,0.0,-0.040755243437709754
2019-05-15,1143125.238192001,0.0,-0.040755243437709754
2019-05-16,1143125.238192001,0.0,-0.040755243437709754
2019-05-17,1143125.238192001,0.0,-0.040755243437709754
2019-05-20,1143125.238192001,0.0,-0.040755243437709754
2019-05-21,1143125.238192001,0.0,-0.040755243437709754
2019-05-22,1143125.238192001,0.0,-0.040755243437709754
2019-05-23,1143125.238192001,0.0,-0.040755243437709754
2019-05-24,1143125.238192001,0.0,-0.040755243437709754
2019-05-27,1143125.238192001,0.0,-0.040755243437709754
2019-05-28,1143125.238192001,0.0,-0.040755243437709754
2019-05-29,1143125.238192001,0.0,-0.040755243437709754
2019-05-30,1143125.238192001,0.0,-0.040755243437709754
2019-05-31,1143125.238192001,0.0,-0.040755243437709754
2019-06-03,1143125.238192001,0.0,-0.040755243437709754
2019-06-04,1143125.238192001,0.0,-0.040755243437709754
2019-06-05,1143125.238192001,0.0,-0.040755243437709754
2019-06-06,1143125.238192001,0.0,-0.040755243437709754
2019-06-10,1143125.238192001,0.0,-0.040755243437709754
2019-06-11,1143125.238192001,0.0,-0.040755243437709754
2019-06-12,1143125.238192001,0.0,-0.040755243437709754
2019-06-13,1143125.238192001,0.0,-0.040755243437709754
2019-06-14,1143125.238192001,0.0,-0.040755243437709754
2019-06-17,1143125.238192001,0.0,-0.040755243437709754
2019-06-18,1143125.238192001,0.0,-0.040755243437709754
2019-06-19,1143125.238192001,0.0,-0.040755243437709754
2019-06-20,1143125.238192001,0.0,-0.040755243437709754
2019-06-21,1142243.510576001,-0.0007713307226027144,-0.04149513838894181
2019-06-24,1142572.310576001,0.0002878545572426727,-0.04121922839638792
2019-06-25,1140435.110576001,-0.001870516185467963,-0.04301264334798793
2019-06-26,1140489.910576001,4.805183520906198e-05,-0.04296665834922886
2019-06-27,1142791.510576001,0.0020180801063267584,-0.041035288401352066
2019-06-28,1142736.710576001,-4.795275384239517e-05,-0.04108127340011081
2019-07-01,1147942.7105760009,0.004555730074844222,-0.03671269851800829
2019-07-02,1147997.311200001,4.7563892777269245e-05,-0.03666688082408698
2019-07-03,1144420.1112000009,-0.0031160351728184432,-0.03966866070658004
2019-07-04,1141601.711200001,-0.0024627319744010556,-0.0420336994018774
2019-07-05,1143769.711200001,0.0018990861512646617,-0.04021443886703313
2019-07-08,1134013.711200001,-0.008529689066310686,-0.048401111273831954
2019-07-09,1132904.4778480008,-0.0009781480956049249,-0.04933191591461916
2019-07-10,1132904.4778480008,0.0,-0.04933191591461916
2019-07-11,1132904.4778480008,0.0,-0.04933191591461916
2019-07-12,1132904.4778480008,0.0,-0.04933191591461916
2019-07-15,1132904.4778480008,0.0,-0.04933191591461916
2019-07-16,1132904.4778480008,0.0,-0.04933191591461916
2019-07-17,1132904.4778480008,0.0,-0.04933191591461916
2019-07-18,1132904.4778480008,0.0,-0.04933191591461916
2019-07-19,1132904.4778480008,0.0,-0.04933191591461916
2019-07-22,1132904.4778480008,0.0,-0.04933191591461916
2019-07-23,1132904.4778480008,0.0,-0.04933191591461916
2019-07-24,1132904.4778480008,0.0,-0.04933191591461916
2019-07-25,1132904.4778480008,0.0,-0.04933191591461916
2019-07-26,1132904.4778480008,0.0,-0.04933191591461916
2019-07-29,1132904.4778480008,0.0,-0.04933191591461916
2019-07-30,1132904.4778480008,0.0,-0.04933191591461916
2019-07-31,1132904.4778480008,0.0,-0.04933191591461916
2019-08-01,1132904.4778480008,0.0,-0.04933191591461916
2019-08-02,1132904.4778480008,0.0,-0.04933191591461916
2019-08-05,1132904.4778480008,0.0,-0.04933191591461916
