day,symbol,side,entry_time,exit_time,entry_price,exit_price,volume,pnl,pnl_pct,reason
2025-12-11,601918.SSE,sell,2025-12-10 09:35:00,2025-12-11 10:01:00,11.274,11.372,884,61.41,0.00869,模型转空
2025-12-11,603826.SSE,sell,2025-12-10 09:41:00,2025-12-11 14:28:00,32.4926,33.2388,290,192.26,0.02297,模型转空
2025-12-12,301638.SZSE,sell,2025-12-11 09:35:00,2025-12-12 09:35:00,21.13,20.6,398,-234.01,-0.02508,止损
2025-12-12,603687.SSE,sell,2025-12-11 09:36:00,2025-12-12 10:56:00,9.2003,9.2303,1080,7.27,0.00326,模型转空
2025-12-12,600487.SSE,sell,2025-12-11 10:03:00,2025-12-12 13:40:00,202.6494,203.4716,42,11.91,0.00406,模型转空
2025-12-12,603097.SSE,sell,2025-12-11 09:35:00,2025-12-12 14:03:00,27.94,28.29,347,96.89,0.01253,模型转空
2025-12-12,603709.SSE,sell,2025-12-11 14:33:00,2025-12-12 14:50:00,34.6812,38.0664,284,937.03,0.09761,尾盘平仓
2025-12-15,603610.SSE,sell,2025-12-12 14:06:00,2025-12-15 09:35:00,55.1119,53.9434,180,-236.2,-0.0212,止损
2025-12-15,301539.SZSE,sell,2025-12-12 10:57:00,2025-12-15 09:36:00,20.85,20.36,389,-213.06,-0.0235,止损
2025-12-15,000534.SZSE,sell,2025-12-12 14:01:00,2025-12-15 14:25:00,84.6363,86.0383,115,136.36,0.01656,模型转空
2025-12-15,603992.SSE,sell,2025-12-12 09:35:00,2025-12-15 14:34:00,32.59,37.53,273,1327.03,0.15158,模型转空
2025-12-16,000933.SZSE,sell,2025-12-15 09:36:00,2025-12-16 09:36:00,339.8772,333.0631,22,-174.45,-0.02005,止损
2025-12-16,300644.SZSE,sell,2025-12-15 09:35:00,2025-12-16 09:55:00,57.645,56.438,163,-221.25,-0.02094,止损
2025-12-16,600108.SSE,sell,2025-12-15 14:34:00,2025-12-16 10:34:00,34.8325,34.5929,286,-93.78,-0.00688,模型转空
2025-12-16,605339.SSE,sell,2025-12-15 14:27:00,2025-12-16 14:04:00,22.36,22.97,367,201.41,0.02728,模型转空
2025-12-16,300836.SZSE,sell,2025-12-15 09:35:00,2025-12-16 14:06:00,100.2964,100.1457,52,-25.86,-0.0015,模型转空
2025-12-17,600490.SSE,sell,2025-12-16 10:35:00,2025-12-17 09:35:00,105.4588,102.7813,88,-260.29,-0.02539,止损
2025-12-17,002187.SZSE,sell,2025-12-16 14:04:00,2025-12-17 09:37:00,21.238,20.68,447,-273.65,-0.02627,止损
2025-12-17,301418.SZSE,sell,2025-12-16 09:36:00,2025-12-17 09:52:00,36.449,35.719,197,-164.99,-0.02003,止损
2025-12-17,000716.SZSE,sell,2025-12-16 14:08:00,2025-12-17 09:54:00,28.6866,28.1066,328,-214.89,-0.02022,止损
2025-12-17,300993.SZSE,sell,2025-12-16 09:58:00,2025-12-17 10:26:00,37.0748,36.326,237,-200.84,-0.0202,止损
2025-12-18,300196.SZSE,sell,2025-12-17 09:52:00,2025-12-18 09:38:00,48.4202,49.3162,193,149.16,0.0185,模型转空
2025-12-18,300433.SZSE,sell,2025-12-17 09:37:00,2025-12-18 10:36:00,170.2401,168.2422,52,-127.5,-0.01174,模型转空
2025-12-18,300980.SZSE,sell,2025-12-17 10:26:00,2025-12-18 11:13:00,40.6204,40.9354,191,38.44,0.00775,模型转空
2025-12-18,603233.SSE,sell,2025-12-17 09:55:00,2025-12-18 13:01:00,55.8671,57.1341,154,172.13,0.02268,模型转空
2025-12-18,000426.SZSE,sell,2025-12-17 09:35:00,2025-12-18 14:40:00,888.9172,916.1962,7,185.53,0.03069,模型转空
2025-12-19,600970.SSE,sell,2025-12-18 09:38:00,2025-12-19 09:36:00,134.0872,135.6424,73,89.0,0.0116,模型转空
2025-12-19,600231.SSE,sell,2025-12-18 14:43:00,2025-12-19 11:00:00,18.2142,18.594,538,179.41,0.02086,模型转空
2025-12-19,000570.SZSE,sell,2025-12-18 11:13:00,2025-12-19 11:21:00,28.1513,28.3675,354,51.46,0.00768,模型转空
2025-12-19,002239.SZSE,sell,2025-12-18 10:36:00,2025-12-19 11:24:00,26.4666,27.1722,371,236.84,0.02666,模型转空
2025-12-19,301408.SZSE,sell,2025-12-18 13:01:00,2025-12-19 14:50:00,22.04,23.12,391,399.63,0.049,尾盘平仓
2025-12-22,000953.SZSE,sell,2025-12-19 11:21:00,2025-12-22 10:24:00,20.5553,20.2721,461,-154.87,-0.01377,模型转空
2025-12-22,000727.SZSE,sell,2025-12-19 11:01:00,2025-12-22 10:28:00,14.7879,14.9887,661,107.76,0.01358,模型转空
2025-12-22,605365.SSE,sell,2025-12-19 11:24:00,2025-12-22 14:16:00,26.664,28.054,368,486.19,0.05213,模型转空
2025-12-22,600487.SSE,sell,2025-12-19 09:36:00,2025-12-22 14:50:00,222.9291,250.8822,42,1167.68,0.12539,尾盘平仓
2025-12-23,600490.SSE,sell,2025-12-22 10:36:00,2025-12-23 11:08:00,105.9943,110.8138,88,400.82,0.04547,模型转空
2025-12-23,000567.SZSE,sell,2025-12-22 14:21:00,2025-12-23 13:17:00,105.9171,106.7526,90,50.88,0.00789,模型转空
