date,equity,cash,hold_value,n_holding,ret
2025-11-06,61682.58,30066.66,31615.93,4,0.005431
2025-11-07,61305.26,28939.06,32366.2,4,-0.006117
2025-11-10,60965.87,13991.9,46973.97,5,-0.005536
2025-11-11,61383.28,24677.56,36705.71,4,0.006847
2025-11-12,59420.91,14702.25,44718.66,5,-0.031969
2025-11-13,61209.75,22822.94,38386.81,4,0.030105
2025-11-14,62838.79,24567.33,38271.46,4,0.026614
2025-11-17,64081.31,35311.89,28769.43,3,0.019773
2025-11-18,64072.15,29618.78,34453.37,4,-0.000143
2025-11-19,62459.42,16722.97,45736.45,5,-0.02517
2025-11-20,61162.18,13754.28,47407.9,5,-0.020769
2025-11-21,59761.16,15946.92,43814.24,5,-0.022907
2025-11-24,59974.3,24864.74,35109.56,4,0.003567
2025-11-25,59744.01,24474.02,35269.99,4,-0.00384
2025-11-26,61918.44,25453.65,36464.78,4,0.036396
2025-11-27,61481.05,16599.59,44881.46,5,-0.007064
2025-11-28,61685.19,16749.35,44935.84,5,0.00332
2025-12-01,62023.94,15458.82,46565.12,5,0.005491
2025-12-02,61353.07,26153.83,35199.24,4,-0.010816
2025-12-03,61659.96,16503.59,45156.37,5,0.005002
2025-12-04,60437.92,24786.4,35651.52,4,-0.019819
2025-12-05,61765.24,25229.72,36535.53,4,0.021962
2025-12-08,61897.29,23962.5,37934.79,4,0.002138
2025-12-09,61085.52,21318.18,39767.35,5,-0.013115
2025-12-10,60146.4,12632.62,47513.78,5,-0.015374
2025-12-11,59299.43,13140.87,46158.57,5,-0.014082
2025-12-12,61099.16,23833.93,37265.23,4,0.03035
2025-12-15,61542.57,21094.96,40447.61,5,0.007257
2025-12-16,60807.54,17036.96,43770.58,5,-0.011943
2025-12-17,60898.72,18797.36,42101.36,5,0.001499
2025-12-18,60566.81,12476.37,48090.44,5,-0.00545
2025-12-19,62136.32,22948.51,39187.82,4,0.025914
2025-12-22,63561.89,27110.03,36451.85,4,0.022943
2025-12-23,64191.3,27211.22,36980.08,4,0.009902
2025-12-24,63898.1,25399.61,38498.49,4,-0.004568
2025-12-25,63884.45,18595.55,45288.9,5,-0.000214
2025-12-26,64297.18,19144.54,45152.64,5,0.006461
2025-12-29,63474.8,18091.05,45383.75,5,-0.01279
2025-12-30,63959.02,20000.08,43958.95,5,0.007629
2025-12-31,63775.18,17386.54,46388.64,5,-0.002874
2026-01-05,63717.69,19721.76,43995.92,5,-0.000901
2026-01-06,63694.51,19837.96,43856.55,5,-0.000364
2026-01-07,63437.96,23482.93,39955.03,5,-0.004028
2026-01-08,63586.61,14789.74,48796.87,5,0.002343
2026-01-09,63237.86,24972.96,38264.9,5,-0.005485
2026-01-12,64395.93,27802.52,36593.42,4,0.018313
2026-01-13,62099.84,25705.17,36394.67,4,-0.035656
2026-01-14,62991.48,18395.81,44595.67,5,0.014358
2026-01-15,62732.24,19713.03,43019.21,5,-0.004116
2026-01-16,63593.75,21766.92,41826.83,5,0.013733
2026-01-19,63410.86,18588.25,44822.61,5,-0.002876
2026-01-20,63292.53,31031.43,32261.1,4,-0.001866
2026-01-21,64375.37,36767.44,27607.93,3,0.017109
2026-01-22,62828.11,20055.4,42772.71,5,-0.024035
2026-01-23,62793.5,15833.48,46960.02,5,-0.000551
