date,equity
2025-05-23,625773.125
2025-05-26,626717.0625
2025-05-27,624974.9375
2025-05-28,625259.1875
2025-05-29,631412.0
2025-05-30,628078.3125
2025-06-03,631005.1875
2025-06-04,630197.25
2025-06-05,630592.0625
2025-06-06,632640.375
2025-06-09,634225.875
2025-06-10,632419.4375
2025-06-11,633338.0
2025-06-12,634227.3125
2025-06-13,632269.6875
2025-06-16,633337.9375
2025-06-17,633637.6875
2025-06-18,633774.125
2025-06-19,629907.0625
2025-06-20,628808.3125
2025-06-23,632979.5
2025-06-24,636628.625
2025-06-25,641469.1875
2025-06-26,640450.625
2025-06-27,642186.5
2025-06-30,645035.6875
2025-07-01,646737.5
2025-07-02,642278.5625
2025-07-03,644791.1875
2025-07-04,643526.1875
2025-07-07,643113.75
2025-07-08,645654.0625
2025-07-09,644270.4375
2025-07-10,646112.0625
2025-07-11,645589.4375
2025-07-14,645655.5625
2025-07-15,645534.125
2025-07-16,646166.0625
2025-07-17,649280.9375
2025-07-18,648980.875
2025-07-21,650895.3125
2025-07-22,656894.5625
2025-07-23,657399.5
2025-07-24,660617.125
2025-07-25,662087.625
2025-07-28,662525.625
2025-07-29,661959.3125
2025-07-30,661314.375
2025-07-31,660051.625
2025-08-01,660644.1875
2025-08-04,662162.5
2025-08-05,664850.875
2025-08-06,668408.5625
2025-08-07,668465.4375
2025-08-08,668089.0625
2025-08-11,670271.6875
2025-08-12,670776.5
2025-08-13,673305.8125
2025-08-14,669595.0625
2025-08-15,674296.625
2025-08-18,676182.5625
2025-08-19,677370.5625
2025-08-20,679422.125
2025-08-21,680052.0625
2025-08-22,680839.5
2025-08-25,684245.875
2025-08-26,686546.9375
2025-08-27,682725.3125
2025-08-28,685037.75
2025-08-29,687686.375
2025-09-01,690287.9375
2025-09-02,688127.4375
2025-09-03,684730.6875
2025-09-04,678800.875
2025-09-05,684570.6875
2025-09-08,681888.1875
2025-09-09,678390.9375
2025-09-10,680044.6875
2025-09-11,687828.5625
2025-09-12,691818.6875
2025-09-15,692533.9375
2025-09-16,695563.5625
2025-09-17,697466.5625
2025-09-18,696707.8125
2025-09-19,697878.1875
2025-09-22,700184.625
2025-09-23,698455.6875
2025-09-24,700874.6875
2025-09-25,699916.4375
2025-09-26,697698.625
2025-09-29,699878.4375
2025-09-30,702388.625
2025-10-09,702691.875
2025-10-10,701409.6875
2025-10-13,701105.25
2025-10-14,695633.5625
2025-10-15,698305.5625
2025-10-16,695888.0
2025-10-17,689728.5625
2025-10-20,693858.875
2025-10-21,699439.0
2025-10-22,697875.3125
2025-10-23,696748.1875
2025-10-24,698187.9375
2025-10-27,703598.9375
2025-10-28,704093.6875
2025-10-29,706516.9375
2025-10-30,703098.8125
2025-10-31,705402.5
2025-11-03,706104.375
2025-11-04,705269.0
2025-11-05,707675.875
2025-11-06,710226.3125
2025-11-07,708060.75
2025-11-10,708116.125
2025-11-11,707902.0625
2025-11-12,705064.5
2025-11-13,707065.625
2025-11-14,705860.0625
2025-11-17,705527.875
2025-11-18,702325.3125
2025-11-19,701623.125
2025-11-20,699775.4375
2025-11-21,690975.5625
2025-11-24,694825.625
2025-11-25,697954.0
2025-11-26,698233.9375
2025-11-27,699384.75
2025-11-28,701618.6875
2025-12-01,703241.3125
2025-12-02,701476.3125
2025-12-03,699167.3125
2025-12-04,699467.625
2025-12-05,701720.4375
2025-12-08,705912.375
2025-12-09,706533.8125
2025-12-10,706531.3125
2025-12-11,704669.5
2025-12-12,706694.5
2025-12-15,704655.5
2025-12-16,701573.0
2025-12-17,705387.25
2025-12-18,704434.5625
2025-12-19,706821.4375
2025-12-22,709972.75
2025-12-23,710800.75
2025-12-24,715216.25
2025-12-25,718806.0625
2025-12-26,718524.4375
2025-12-29,721724.3125
2025-12-30,721282.375
2025-12-31,720453.5
2026-01-05,723983.5625
2026-01-06,729559.625
2026-01-07,733291.3125
2026-01-08,736567.125
2026-01-09,739413.6875
2026-01-12,744912.875
2026-01-13,748773.75
2026-01-14,752337.6875
2026-01-15,753851.1875
2026-01-16,754901.875
2026-01-19,757680.5625
2026-01-20,756541.125
2026-01-21,756339.25
2026-01-22,763898.625
2026-01-23,770610.625
2026-01-26,764627.9375
2026-01-27,766646.8125
2026-01-28,764409.25
2026-01-29,763858.0625
2026-01-30,763390.8125
2026-02-02,757263.4375
2026-02-03,765021.1875
2026-02-04,766590.75
2026-02-05,763209.75
2026-02-06,761050.3125
2026-02-09,764482.1875
2026-02-10,767437.75
2026-02-11,765992.9375
2026-02-12,770175.0
2026-02-13,767175.375
2026-02-24,765559.6875
2026-02-25,770806.1875
2026-02-26,771680.5625
2026-02-27,775515.625
2026-03-02,772211.0
2026-03-03,766952.3125
2026-03-04,766784.875
2026-03-05,770197.0
2026-03-06,772700.4375
2026-03-09,772117.5
2026-03-10,775355.75
2026-03-11,774594.8125
2026-03-12,772348.75
2026-03-13,770218.1875
2026-03-16,769879.625
2026-03-17,766869.1875
2026-03-18,768595.1875
2026-03-19,765857.3125
2026-03-20,762377.625
2026-03-23,755189.625
2026-03-24,758883.375
2026-03-25,763380.5625
2026-03-26,760050.5625
2026-03-27,764622.0625
2026-03-30,764653.8125
2026-03-31,763654.1875
2026-04-01,769025.5625
2026-04-02,762613.5
2026-04-03,761371.375
2026-04-07,762788.8125
2026-04-08,769139.875
2026-04-09,767761.375
2026-04-10,768981.8125
2026-04-13,769849.0625
2026-04-14,774033.0625
2026-04-15,774964.25
2026-04-16,779476.0625
2026-04-17,782383.0
2026-04-20,787074.9375
2026-04-21,787372.5
2026-04-22,789409.875
2026-04-23,788395.25
2026-04-24,786895.0625
2026-04-27,789578.5
2026-04-28,786756.375
2026-04-29,789349.6875
2026-04-30,790274.625
2026-05-06,793120.4375
2026-05-07,799116.125
2026-05-08,799141.9375
2026-05-11,800104.5625
2026-05-12,797186.25
2026-05-13,798662.0625
2026-05-14,792107.5
2026-05-15,791188.9375
2026-05-18,793145.0625
2026-05-19,797482.0
2026-05-20,796094.4375
2026-05-21,789485.125
2026-05-22,790689.3125
2026-05-25,792902.625
2026-05-26,791928.5625
2026-05-27,786474.375
2026-05-28,789306.25
2026-05-29,777500.375
2026-06-01,776473.5625
2026-06-02,773213.0625
2026-06-03,775795.5
2026-06-04,776051.625
2026-06-05,778279.4375
2026-06-08,770898.875
2026-06-09,773960.1875
2026-06-10,769892.25
2026-06-11,765627.5625
2026-06-12,770655.625
2026-06-15,776354.0625
2026-06-16,782028.5
2026-06-17,785798.5
2026-06-18,786435.3125
2026-06-22,788865.0
2026-06-23,786234.4375
2026-06-24,782332.6875
2026-06-25,779753.3125
2026-06-26,772878.1875
2026-06-29,775183.0
2026-06-30,777864.5625
2026-07-01,780384.875
2026-07-02,775253.4375
2026-07-03,777956.4375
2026-07-06,776331.9375
2026-07-07,769503.0
2026-07-08,763239.25
2026-07-09,773618.4375
2026-07-10,765151.625
2026-07-13,752177.1875
2026-07-14,757974.4375
2026-07-15,750731.0625
2026-07-16,739922.8125
2026-07-17,722868.9375
2026-07-20,715557.75
2026-07-21,721819.0625
2026-07-22,718114.375
2026-07-23,716368.8125
2026-07-24,710838.875
