name,expr,ic_mean,ic_std,icir,t,ic_pos,t_h1,t_h2,n,abs_t,both_sig,same_sign,stable
VMA20,"Mean($volume, 20)/($volume+1e-12)",0.040799408517137994,0.1086181069547199,0.37562253348924796,19.0348363461159,0.6639408099688473,17.78438246655478,9.755950055912088,2568,19.0348363461159,True,True,True
VSUMN20,"Sum(Greater(Ref($volume, 1)-$volume, 0), 20)/(Sum(Abs($volum",0.03916602081426649,0.1044838966271917,0.3748522220033056,18.995800474294686,0.6631619937694704,17.964045990948915,9.825145718920892,2568,18.995800474294686,True,True,True
VSUMD20,"(Sum(Greater($volume-Ref($volume, 1), 0), 20)-Sum(Greater(Re",-0.039165999422802404,0.10448390462832703,-0.37485198856345153,-18.995788644627872,0.3368380062305296,-17.96404101327866,-9.825136476461367,2568,18.995788644627872,True,True,True
VSUMP20,"Sum(Greater($volume-Ref($volume, 1), 0), 20)/(Sum(Abs($volum",-0.03916599073114418,0.10448389196538155,-0.3748519508071251,-18.995786731309497,0.3368380062305296,-17.96402441460336,-9.825143572993097,2568,18.995786731309497,True,True,True
VSUMD5,"(Sum(Greater($volume-Ref($volume, 1), 0), 5)-Sum(Greater(Ref",-0.03470836346144314,0.09437742996759564,-0.3677612695467572,-18.63646335387576,0.3383956386292835,-18.37133554154891,-8.733529980459572,2568,18.63646335387576,True,True,True
VSUMN5,"Sum(Greater(Ref($volume, 1)-$volume, 0), 5)/(Sum(Abs($volume",0.03470835733331648,0.09437743273427993,0.36776119383367856,18.63645951708235,0.6616043613707165,18.371327879987007,8.733531542352312,2568,18.63645951708235,True,True,True
VSUMP5,"Sum(Greater($volume-Ref($volume, 1), 0), 5)/(Sum(Abs($volume",-0.034708354072490726,0.09437743395540237,-0.3677611545244174,-18.63645752506833,0.3383956386292835,-18.37132906806618,-8.733527296371822,2568,18.63645752506833,True,True,True
KLOW,"(Less($open, $close)-$low)/$open",-0.04772599182184339,0.1320789784090956,-0.36134434409402383,-18.31484778089771,0.3188010899182561,-12.470697333701654,-13.417403031482497,2569,18.31484778089771,True,True,True
VMA10,"Mean($volume, 10)/($volume+1e-12)",0.03568138596273824,0.09957989638647252,0.35831917141445624,18.15798089691885,0.6561526479750779,17.32942092088359,8.921225534568398,2568,18.15798089691885,True,True,True
VSUMP10,"Sum(Greater($volume-Ref($volume, 1), 0), 10)/(Sum(Abs($volum",-0.035251540723668075,0.09925839582336388,-0.35514920860095556,-17.997341643416807,0.35046728971962615,-16.15386857345967,-9.729912432336766,2568,17.997341643416807,True,True,True
VSUMN10,"Sum(Greater(Ref($volume, 1)-$volume, 0), 10)/(Sum(Abs($volum",0.03525153772906744,0.09925840892312687,0.3551491315599151,17.99733773932835,0.6495327102803738,16.153873828481093,9.729903422350176,2568,17.99733773932835,True,True,True
VSUMD10,"(Sum(Greater($volume-Ref($volume, 1), 0), 10)-Sum(Greater(Re",-0.035251521551505724,0.09925840481948194,-0.35514898325856165,-17.997330224092334,0.35046728971962615,-16.153868549859645,-9.729898515599405,2568,17.997330224092334,True,True,True
CORD5,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5",-0.034829106198969395,0.09899317308559145,-0.35183341551094094,-17.825840599459323,0.35488897545773274,-15.955997307747593,-9.721397582070209,2567,17.825840599459323,True,True,True
MIN10,"Min($low, 10)/$close",0.05452186137938648,0.1604844445184771,0.3397329974439311,17.219470114951264,0.6562864927987544,12.801325486761407,11.608340551395438,2569,17.219470114951264,True,True,True
VSTD60,"Std($volume, 60)/($volume+1e-12)",0.036304450341866336,0.10810651867519011,0.33582110298958334,17.017881428995338,0.6386292834890965,14.82060325848283,9.64936564512043,2568,17.017881428995338,True,True,True
CORD20,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 2",-0.03439156753577414,0.10252226739101954,-0.3354546130413292,-16.995999233739898,0.358005453837164,-14.711267283900204,-9.798641352691233,2567,16.995999233739898,True,True,True
CORD10,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 1",-0.03439875595616188,0.10306033024688739,-0.3337730033831401,-16.910799521615175,0.35216205687573043,-14.261002090237506,-9.967589935478149,2567,16.910799521615175,True,True,True
KLEN,($high-$low)/$open,-0.06103368911949072,0.19346083784891813,-0.31548343219289965,-15.990373538279723,0.3507201245620864,-11.576313246504995,-11.107417083379389,2569,15.990373538279723,True,True,True
CORR5,"Corr($close, Log($volume+1), 5)",-0.02894450851916076,0.09196713952807464,-0.3147266367931877,-15.948910118549291,0.36098130841121495,-12.813100451407442,-9.879968841039615,2568,15.948910118549291,True,True,True
CORD30,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 3",-0.03217126871815915,0.10245441257792283,-0.31400569198218714,-15.909277418884985,0.37397740553174913,-13.7064054028256,-9.288694215482504,2567,15.909277418884985,True,True,True
VMA5,"Mean($volume, 5)/($volume+1e-12)",0.028585116340114673,0.09195633260898169,0.31085533240722857,15.752730073789431,0.6460280373831776,15.588745661894947,7.352062269358285,2568,15.752730073789431,True,True,True
CORR10,"Corr($close, Log($volume+1), 10)",-0.031049805744494473,0.1006433265269903,-0.30851330948572736,-15.634047036817414,0.37305295950155765,-11.502648160642524,-10.687699196698945,2568,15.634047036817414,True,True,True
QTLD5,"Quantile($close, 5, 0.2)/$close",0.045736541605957706,0.14932253686739203,0.30629362831261486,15.521563721510772,0.6499221183800623,13.225079864589569,9.055316508297858,2568,15.521563721510772,True,True,True
