规则,级别,标的,数量,说明,样例
涨跌幅异常,可疑,002230.SZSE,5,5 根 K 线涨跌幅超过 15%（最大 22.3%），可能是复权跳变、停牌复牌或数据错误,2021-01-22 00:00:00; 2021-02-12 00:00:00; 2023-02-03 00:00:00; 2023-06-02 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,002236.SZSE,6,6 根 K 线涨跌幅超过 15%（最大 18.5%），可能是复权跳变、停牌复牌或数据错误,2021-01-08 00:00:00; 2023-03-03 00:00:00; 2023-03-17 00:00:00; 2023-03-24 00:00:00; 2023-04-07 00:00:00
涨跌幅异常,可疑,002241.SZSE,9,9 根 K 线涨跌幅超过 15%（最大 29.0%），可能是复权跳变、停牌复牌或数据错误,2020-07-31 00:00:00; 2021-01-29 00:00:00; 2021-04-23 00:00:00; 2021-08-27 00:00:00; 2022-11-11 00:00:00
涨跌幅异常,可疑,002304.SZSE,4,4 根 K 线涨跌幅超过 15%（最大 18.9%），可能是复权跳变、停牌复牌或数据错误,2020-07-03 00:00:00; 2020-10-16 00:00:00; 2021-07-30 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,002311.SZSE,3,3 根 K 线涨跌幅超过 15%（最大 23.6%），可能是复权跳变、停牌复牌或数据错误,2020-07-31 00:00:00; 2021-02-05 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,002352.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 21.7%），可能是复权跳变、停牌复牌或数据错误,2020-08-28 00:00:00
涨跌幅异常,可疑,002353.SZSE,9,9 根 K 线涨跌幅超过 15%（最大 24.9%），可能是复权跳变、停牌复牌或数据错误,2020-03-13 00:00:00; 2020-11-13 00:00:00; 2021-02-26 00:00:00; 2022-04-22 00:00:00; 2025-08-08 00:00:00
涨跌幅异常,可疑,002371.SZSE,23,23 根 K 线涨跌幅超过 15%（最大 25.1%），可能是复权跳变、停牌复牌或数据错误,2020-01-17 00:00:00; 2020-02-07 00:00:00; 2020-04-17 00:00:00; 2020-05-01 00:00:00; 2020-07-10 00:00:00
涨跌幅异常,可疑,002384.SZSE,22,22 根 K 线涨跌幅超过 15%（最大 29.6%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2020-02-28 00:00:00; 2020-05-01 00:00:00; 2020-06-05 00:00:00; 2021-06-25 00:00:00
涨跌幅异常,可疑,002415.SZSE,2,2 根 K 线涨跌幅超过 15%（最大 17.2%），可能是复权跳变、停牌复牌或数据错误,2021-01-08 00:00:00; 2022-05-06 00:00:00
涨跌幅异常,可疑,002422.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 30.4%），可能是复权跳变、停牌复牌或数据错误,2026-07-03 00:00:00
