规则,级别,标的,数量,说明,样例
报告期存在重述,提示,300476.SZSE,8,"PershareIndex 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300498.SZSE,10,"Balance 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300498.SZSE,38,"Income 有 38 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300498.SZSE,22,"CashFlow 有 22 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300498.SZSE,10,"PershareIndex 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300502.SZSE,28,"Income 有 28 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300502.SZSE,4,"CashFlow 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300502.SZSE,5,"PershareIndex 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300628.SZSE,3,"Balance 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300628.SZSE,20,"Income 有 20 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300628.SZSE,7,"PershareIndex 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300661.SZSE,1,"Balance 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300661.SZSE,28,"Income 有 28 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300661.SZSE,2,"CashFlow 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300661.SZSE,8,"PershareIndex 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300750.SZSE,4,"Balance 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300750.SZSE,20,"Income 有 20 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300750.SZSE,13,"CashFlow 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300750.SZSE,6,"PershareIndex 有 6 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300760.SZSE,5,"Balance 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300760.SZSE,15,"Income 有 15 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300760.SZSE,4,"CashFlow 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300760.SZSE,8,"PershareIndex 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300803.SZSE,2,"Balance 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300803.SZSE,6,"Income 有 6 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300803.SZSE,2,"CashFlow 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300803.SZSE,9,"PershareIndex 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300832.SZSE,1,"Balance 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300832.SZSE,5,"Income 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300832.SZSE,1,"CashFlow 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300832.SZSE,3,"PershareIndex 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300866.SZSE,3,"Balance 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300866.SZSE,12,"Income 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300866.SZSE,1,"CashFlow 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300866.SZSE,6,"PershareIndex 有 6 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300896.SZSE,3,"Balance 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300896.SZSE,9,"Income 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300896.SZSE,3,"CashFlow 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300896.SZSE,3,"PershareIndex 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300999.SZSE,7,"Balance 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300999.SZSE,8,"Income 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300999.SZSE,6,"CashFlow 有 6 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,300999.SZSE,4,"PershareIndex 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301165.SZSE,8,"Balance 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301165.SZSE,13,"Income 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301165.SZSE,3,"CashFlow 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301165.SZSE,5,"PershareIndex 有 5 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301236.SZSE,4,"Balance 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301236.SZSE,8,"Income 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301236.SZSE,4,"CashFlow 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301236.SZSE,3,"PershareIndex 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301269.SZSE,2,"Balance 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301269.SZSE,2,"Income 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301308.SZSE,1,"Balance 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301308.SZSE,2,"Income 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301308.SZSE,2,"CashFlow 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,301308.SZSE,2,"PershareIndex 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,302132.SZSE,4,"Balance 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,302132.SZSE,1,"Income 有 1 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,302132.SZSE,2,"CashFlow 有 2 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,302132.SZSE,13,"PershareIndex 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600000.SSE,15,"Balance 有 15 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600000.SSE,43,"Income 有 43 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600000.SSE,32,"CashFlow 有 32 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600000.SSE,10,"PershareIndex 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600009.SSE,16,"Balance 有 16 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600009.SSE,18,"Income 有 18 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600009.SSE,7,"CashFlow 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600009.SSE,3,"PershareIndex 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600010.SSE,34,"Balance 有 34 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600010.SSE,33,"Income 有 33 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600010.SSE,18,"CashFlow 有 18 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600010.SSE,13,"PershareIndex 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600011.SSE,45,"Balance 有 45 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600011.SSE,36,"Income 有 36 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600011.SSE,34,"CashFlow 有 34 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600011.SSE,9,"PershareIndex 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600015.SSE,6,"Balance 有 6 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600015.SSE,24,"Income 有 24 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600015.SSE,18,"CashFlow 有 18 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600015.SSE,8,"PershareIndex 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600016.SSE,10,"Balance 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600016.SSE,28,"Income 有 28 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600016.SSE,26,"CashFlow 有 26 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600016.SSE,9,"PershareIndex 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600018.SSE,35,"Balance 有 35 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600018.SSE,22,"Income 有 22 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600018.SSE,8,"CashFlow 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600018.SSE,4,"PershareIndex 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600019.SSE,29,"Balance 有 29 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600019.SSE,41,"Income 有 41 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600019.SSE,35,"CashFlow 有 35 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600019.SSE,14,"PershareIndex 有 14 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600023.SSE,32,"Balance 有 32 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600023.SSE,33,"Income 有 33 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600023.SSE,12,"CashFlow 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600023.SSE,17,"PershareIndex 有 17 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600025.SSE,20,"Balance 有 20 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600025.SSE,19,"Income 有 19 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600025.SSE,7,"CashFlow 有 7 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600025.SSE,9,"PershareIndex 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600026.SSE,27,"Balance 有 27 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600026.SSE,40,"Income 有 40 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600026.SSE,28,"CashFlow 有 28 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600026.SSE,10,"PershareIndex 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600027.SSE,46,"Balance 有 46 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600027.SSE,45,"Income 有 45 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600027.SSE,35,"CashFlow 有 35 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600027.SSE,14,"PershareIndex 有 14 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600028.SSE,43,"Balance 有 43 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600028.SSE,49,"Income 有 49 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600028.SSE,43,"CashFlow 有 43 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600028.SSE,12,"PershareIndex 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600029.SSE,66,"Balance 有 66 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600029.SSE,30,"Income 有 30 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600029.SSE,18,"CashFlow 有 18 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600029.SSE,9,"PershareIndex 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600030.SSE,15,"Balance 有 15 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600030.SSE,27,"Income 有 27 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600030.SSE,49,"CashFlow 有 49 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600030.SSE,13,"PershareIndex 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600031.SSE,39,"Balance 有 39 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600031.SSE,52,"Income 有 52 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600031.SSE,34,"CashFlow 有 34 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600031.SSE,13,"PershareIndex 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600036.SSE,12,"Balance 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600036.SSE,31,"Income 有 31 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600036.SSE,45,"CashFlow 有 45 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600036.SSE,10,"PershareIndex 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600039.SSE,39,"Balance 有 39 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600039.SSE,40,"Income 有 40 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600039.SSE,19,"CashFlow 有 19 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600039.SSE,11,"PershareIndex 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600048.SSE,12,"Balance 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600048.SSE,41,"Income 有 41 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600048.SSE,15,"CashFlow 有 15 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600048.SSE,12,"PershareIndex 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600050.SSE,42,"Balance 有 42 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600050.SSE,40,"Income 有 40 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600050.SSE,27,"CashFlow 有 27 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600050.SSE,13,"PershareIndex 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600061.SSE,15,"Balance 有 15 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600061.SSE,29,"Income 有 29 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600061.SSE,26,"CashFlow 有 26 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600061.SSE,12,"PershareIndex 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600066.SSE,42,"Balance 有 42 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600066.SSE,45,"Income 有 45 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600066.SSE,31,"CashFlow 有 31 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600066.SSE,12,"PershareIndex 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600085.SSE,13,"Balance 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600085.SSE,43,"Income 有 43 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600085.SSE,29,"CashFlow 有 29 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600085.SSE,13,"PershareIndex 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600089.SSE,31,"Balance 有 31 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600089.SSE,29,"Income 有 29 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600089.SSE,16,"CashFlow 有 16 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600089.SSE,16,"PershareIndex 有 16 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600104.SSE,11,"Balance 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600104.SSE,42,"Income 有 42 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600104.SSE,19,"CashFlow 有 19 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600104.SSE,11,"PershareIndex 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600111.SSE,48,"Balance 有 48 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600111.SSE,54,"Income 有 54 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600111.SSE,20,"CashFlow 有 20 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600111.SSE,26,"PershareIndex 有 26 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600115.SSE,35,"Balance 有 35 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600115.SSE,38,"Income 有 38 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600115.SSE,36,"CashFlow 有 36 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600115.SSE,11,"PershareIndex 有 11 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600118.SSE,14,"Balance 有 14 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600118.SSE,48,"Income 有 48 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600118.SSE,16,"CashFlow 有 16 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600118.SSE,10,"PershareIndex 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600150.SSE,20,"Balance 有 20 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600150.SSE,51,"Income 有 51 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600150.SSE,37,"CashFlow 有 37 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600150.SSE,10,"PershareIndex 有 10 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600160.SSE,39,"Balance 有 39 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600160.SSE,46,"Income 有 46 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600160.SSE,32,"CashFlow 有 32 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600160.SSE,13,"PershareIndex 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600176.SSE,15,"Balance 有 15 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600176.SSE,33,"Income 有 33 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600176.SSE,8,"CashFlow 有 8 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600176.SSE,9,"PershareIndex 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600183.SSE,3,"Balance 有 3 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600183.SSE,34,"Income 有 34 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600183.SSE,4,"CashFlow 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600183.SSE,4,"PershareIndex 有 4 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600188.SSE,44,"Balance 有 44 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600188.SSE,50,"Income 有 50 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600188.SSE,45,"CashFlow 有 45 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600188.SSE,14,"PershareIndex 有 14 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600196.SSE,44,"Balance 有 44 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600196.SSE,35,"Income 有 35 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600196.SSE,20,"CashFlow 有 20 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600196.SSE,12,"PershareIndex 有 12 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600219.SSE,24,"Balance 有 24 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600219.SSE,28,"Income 有 28 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600219.SSE,13,"CashFlow 有 13 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
报告期存在重述,提示,600219.SSE,9,"PershareIndex 有 9 期被追溯重述（正常现象，get_asof 已按 (报告期, 公告日) 排序处理）",
