date,equity,close,t_trades,day_t_pnl
2026-04-10,258948.69,139.011,0,0.0
2026-04-13,258948.69,139.011,0,0.0
2026-04-14,259991.16,139.959,0,0.0
2026-04-15,259417.7,139.769,1,-364.97
2026-04-16,259521.95,139.864,0,0.0
2026-04-17,262232.37,142.328,0,0.0
2026-04-20,263170.59,143.181,0,0.0
2026-04-21,262023.88,142.138,0,0.0
2026-04-22,262857.85,142.897,0,0.0
2026-04-23,255560.56,136.263,0,0.0
2026-04-24,258062.49,138.537,0,0.0
2026-04-27,255352.07,136.073,0,0.0
2026-04-28,250348.21,131.524,0,0.0
2026-04-29,255873.3,136.547,0,0.0
2026-04-30,254101.1,134.936,0,0.0
2026-05-06,257332.76,137.874,0,0.0
2026-05-07,262545.11,142.612,0,0.0
2026-05-08,263483.33,143.465,0,0.0
2026-05-11,260981.41,141.191,0,0.0
2026-05-12,259104.96,139.485,0,0.0
2026-05-13,262128.12,142.233,0,0.0
2026-05-14,256394.54,137.021,0,0.0
2026-05-15,246249.43,126.975,1,905.07
2026-05-18,241871.05,122.995,0,0.0
2026-05-19,242913.52,123.943,0,0.0
2026-05-20,240203.1,121.479,0,0.0
2026-05-21,236658.7,118.256,0,0.0
2026-05-22,241349.82,122.521,0,0.0
2026-05-25,240828.58,122.047,0,0.0
2026-05-26,249481.09,129.913,0,0.0
2026-05-27,242994.73,123.09,1,1019.43
2026-05-28,241639.52,121.858,0,0.0
2026-05-29,241520.11,120.626,1,1235.8
2026-06-01,241520.11,120.626,0,0.0
2026-06-02,245794.24,124.511,0,0.0
2026-06-03,247253.69,125.838,0,0.0
2026-06-04,241311.62,120.436,0,0.0
2026-06-05,238392.7,117.782,0,0.0
2026-06-08,229948.69,110.106,0,0.0
2026-06-09,233287.85,112.949,1,211.75
2026-06-10,230476.31,112.002,1,-1769.07
2026-06-11,236105.65,117.119,0,0.0
2026-06-12,248302.55,128.207,0,0.0
2026-06-15,253202.16,132.661,0,0.0
2026-06-16,250908.72,130.576,0,0.0
2026-06-17,249136.52,128.965,0,0.0
2026-06-18,246530.35,126.596,0,0.0
2026-06-22,252785.17,132.282,0,0.0
2026-06-23,238816.07,119.583,0,0.0
2026-06-24,239754.29,120.436,0,0.0
2026-06-25,231414.53,112.854,0,0.0
2026-06-26,225482.51,106.031,1,1573.76
2026-06-29,229548.14,109.727,0,0.0
2026-06-30,227056.46,108.969,1,-1657.71
2026-07-01,227369.2,109.253,0,0.0
2026-07-02,228620.16,110.39,0,0.0
2026-07-03,232164.56,113.613,0,0.0
2026-07-06,230912.49,112.76,1,-313.85
2026-07-07,226534.11,108.779,0,0.0
2026-07-08,224042.12,104.989,1,1677.89
2026-07-09,223312.39,104.325,0,0.0
2026-07-10,223946.28,106.789,1,-2076.53
2026-07-13,215919.26,99.492,0,0.0
2026-07-14,221235.86,104.325,0,0.0
2026-07-15,217711.0,100.819,1,332.27
2026-07-16,216043.04,99.302,0,0.0
2026-07-17,210652.97,93.616,1,864.75
2026-07-20,209540.04,91.247,1,1493.24
2026-07-21,215794.86,96.933,0,0.0
2026-07-22,225072.84,105.368,0,0.0
2026-07-23,232057.39,111.717,0,0.0
2026-07-24,224968.59,105.273,0,0.0
2026-07-27,226428.05,106.6,0,0.0
2026-07-28,225385.58,105.652,0,0.0
2026-07-29,226636.55,106.789,0,0.0
2026-07-30,220277.48,101.008,0,0.0
2026-07-31,225594.08,105.841,0,0.0
2026-08-03,224238.86,104.609,0,0.0
2026-08-04,227679.02,107.737,0,0.0
2026-08-05,234767.81,114.181,0,0.0
2026-08-06,233516.85,113.044,0,0.0
2026-08-07,238095.39,117.214,1,-8.33
2026-08-10,247477.62,125.743,0,0.0
2026-08-11,243933.22,122.521,0,0.0
2026-08-12,244350.21,122.9,0,0.0
2026-08-13,238199.63,117.309,0,0.0
2026-08-14,235276.87,115.887,1,-1359.06
2026-08-17,238821.27,119.109,0,0.0
2026-08-18,237778.8,118.162,0,0.0
2026-08-19,232670.7,113.518,0,0.0
2026-08-20,234651.39,115.318,0,0.0
2026-08-21,239446.75,119.678,0,0.0
2026-08-24,237049.07,117.498,0,0.0
2026-08-25,235170.88,114.086,1,1874.7
2026-08-26,239236.51,117.782,0,0.0
2026-08-27,239757.75,118.256,0,0.0
2026-08-28,240278.98,118.73,0,0.0
2026-08-31,238715.28,117.309,0,0.0
2026-09-01,238298.29,116.93,0,0.0
2026-09-02,234858.14,113.802,0,0.0
2026-09-03,236838.83,115.603,0,0.0
2026-09-04,236103.74,114.181,1,828.61
