date,equity,cash,hold_value,n_holding,ret
2025-12-19,57485.67,57485.67,0.0,0,0.0
2025-12-22,57485.67,57485.67,0.0,0,0.0
2025-12-23,57485.67,57485.67,0.0,0,0.0
2025-12-24,57485.67,57485.67,0.0,0,0.0
2025-12-25,57485.67,57485.67,0.0,0,0.0
2025-12-26,57485.67,57485.67,0.0,0,0.0
2025-12-29,57485.67,57485.67,0.0,0,0.0
2025-12-30,57485.67,57485.67,0.0,0,0.0
2025-12-31,57485.67,57485.67,0.0,0,0.0
2026-01-05,57485.67,57485.67,0.0,0,0.0
2026-01-06,57485.67,57485.67,0.0,0,0.0
2026-01-07,57485.67,57485.67,0.0,0,0.0
2026-01-08,57485.67,57485.67,0.0,0,0.0
2026-01-09,57485.67,57485.67,0.0,0,0.0
2026-01-12,57485.67,57485.67,0.0,0,0.0
2026-01-13,57485.67,57485.67,0.0,0,0.0
2026-01-14,57485.67,57485.67,0.0,0,0.0
2026-01-15,57485.67,57485.67,0.0,0,0.0
2026-01-16,57485.67,57485.67,0.0,0,0.0
2026-01-19,57485.67,57485.67,0.0,0,0.0
2026-01-20,57485.67,57485.67,0.0,0,0.0
2026-01-21,57485.67,57485.67,0.0,0,0.0
2026-01-22,57485.67,57485.67,0.0,0,0.0
2026-01-23,57485.67,57485.67,0.0,0,0.0
2026-01-26,57485.67,57485.67,0.0,0,0.0
2026-01-27,57485.67,57485.67,0.0,0,0.0
2026-01-28,57485.67,57485.67,0.0,0,0.0
2026-01-29,57485.67,57485.67,0.0,0,0.0
2026-01-30,57485.67,57485.67,0.0,0,0.0
2026-02-02,57485.67,57485.67,0.0,0,0.0
2026-02-03,57485.67,57485.67,0.0,0,0.0
2026-02-04,57485.67,57485.67,0.0,0,0.0
2026-02-05,57485.67,57485.67,0.0,0,0.0
2026-02-06,57485.67,57485.67,0.0,0,0.0
2026-02-09,57485.67,57485.67,0.0,0,0.0
2026-02-10,57485.67,57485.67,0.0,0,0.0
2026-02-11,57485.67,57485.67,0.0,0,0.0
2026-02-12,57485.67,57485.67,0.0,0,0.0
2026-02-13,57485.67,57485.67,0.0,0,0.0
