day,symbol,side,entry_time,exit_time,entry_price,exit_price,volume,pnl,pnl_pct,reason
2025-09-12,600246.SSE,sell,2025-09-11 13:34:00,2025-09-12 09:37:00,148.9039,145.0735,66,-281.28,-0.02572,止损
2025-09-12,603698.SSE,sell,2025-09-11 10:26:00,2025-09-12 13:50:00,25.5871,26.9001,365,455.21,0.05131,模型转空
2025-09-12,002642.SZSE,sell,2025-09-11 14:38:00,2025-09-12 13:55:00,46.4803,48.2353,213,349.14,0.03776,模型转空
2025-09-12,300836.SZSE,sell,2025-09-11 09:39:00,2025-09-12 14:35:00,75.5464,82.5775,104,713.01,0.09307,模型转空
2025-09-12,000426.SZSE,sell,2025-09-11 10:23:00,2025-09-12 14:50:00,615.0574,665.3364,15,734.27,0.08175,尾盘平仓
2025-09-15,000933.SZSE,sell,2025-09-12 09:38:00,2025-09-15 11:02:00,272.6449,272.7585,29,-19.01,0.00042,模型转空
2025-09-15,600376.SSE,sell,2025-09-12 13:59:00,2025-09-15 14:17:00,56.3682,58.6801,169,367.97,0.04101,模型转空
2025-09-16,000727.SZSE,sell,2025-09-15 14:12:00,2025-09-16 09:36:00,17.3311,16.9295,571,-254.46,-0.02317,止损
2025-09-16,603278.SSE,sell,2025-09-15 11:06:00,2025-09-16 10:38:00,17.453,17.103,540,-213.33,-0.02005,止损
2025-09-16,600433.SSE,sell,2025-09-15 14:07:00,2025-09-16 11:09:00,24.4009,24.1702,395,-115.88,-0.00945,模型转空
2025-09-16,002642.SZSE,sell,2025-09-15 14:24:00,2025-09-16 13:51:00,51.6103,52.1953,192,87.2,0.01134,模型转空
2025-09-16,603590.SSE,sell,2025-09-15 11:27:00,2025-09-16 14:20:00,60.43,62.74,90,190.85,0.03823,模型转空
2025-09-17,600376.SSE,sell,2025-09-16 10:58:00,2025-09-17 13:44:00,63.4256,67.5019,154,604.28,0.06427,模型转空
2025-09-17,605133.SSE,sell,2025-09-16 14:42:00,2025-09-17 13:47:00,63.309,64.31,148,124.27,0.01581,模型转空
2025-09-17,600246.SSE,sell,2025-09-16 09:36:00,2025-09-17 14:25:00,148.2336,148.2336,66,-25.08,0.0,模型转空
2025-09-18,301552.SZSE,sell,2025-09-17 10:46:00,2025-09-18 13:03:00,62.74,62.558,154,-52.78,-0.0029,模型转空
2025-09-18,603988.SSE,sell,2025-09-17 13:55:00,2025-09-18 13:36:00,91.9452,100.4712,90,751.97,0.09273,模型转空
2025-09-18,603992.SSE,sell,2025-09-17 10:24:00,2025-09-18 14:18:00,33.63,34.3,273,159.19,0.01992,模型转空
2025-09-19,600376.SSE,sell,2025-09-18 13:46:00,2025-09-19 09:35:00,71.9432,69.9355,131,-287.77,-0.02791,止损
2025-09-19,002949.SZSE,sell,2025-09-18 13:03:00,2025-09-19 09:51:00,18.54,18.1,500,-244.06,-0.02373,止损
2025-09-19,300324.SZSE,sell,2025-09-18 09:37:00,2025-09-19 10:12:00,191.0026,186.6724,51,-246.27,-0.02267,止损
2025-09-19,600487.SSE,sell,2025-09-18 09:37:00,2025-09-19 14:02:00,206.9429,221.1021,42,580.44,0.06842,模型转空
2025-09-22,603001.SSE,sell,2025-09-19 09:35:00,2025-09-22 09:35:00,14.47,14.17,629,-212.64,-0.02073,止损
2025-09-22,600760.SSE,sell,2025-09-19 09:35:00,2025-09-22 11:28:00,632.5563,639.6117,9,48.98,0.01115,模型转空
2025-09-22,300324.SZSE,sell,2025-09-19 10:55:00,2025-09-22 13:05:00,184.0262,180.1772,51,-221.12,-0.02092,止损
2025-09-22,300993.SZSE,sell,2025-09-19 14:31:00,2025-09-22 14:09:00,48.8216,53.1038,197,821.07,0.08771,模型转空
2025-09-22,301539.SZSE,sell,2025-09-19 10:30:00,2025-09-22 14:13:00,20.24,20.05,487,-117.42,-0.00939,模型转空
2025-09-23,002239.SZSE,sell,2025-09-22 14:13:00,2025-09-23 09:35:00,32.4642,31.4058,305,-348.47,-0.0326,止损
